 --planet list--
Orbital Eccentricity	Perihelion (106 km)	Diameter (km)	Rotation Period (hours)	name	Orbital Velocity (km/s)	Density (kg/m3)	Orbital Inclination (degrees)	Distance from Sun (106 km)	Obliquity to Orbit (degrees)	Ring System?	Surface Pressure (bars)	Number of Moons	Global Magnetic Field?	Mean Temperature (C)	Orbital Period (days)	Aphelion (106 km)	Gravity (m/s2)	Mass (1024kg)	Length of Day (hours)	Escape Velocity (km/s)
Ymir	Saturn	20	1312.37	59	9	2.3		0.06
Janus	Saturn	190 X 154	0.695	23	89.5±1.5	0.630±0.030	[54]	0.71±0.02
Phoebe	Saturn	220	550.48	36	106.50±0.70	1.638±0.033	[27]	0.081±0.002
Jarnsaxa	Saturn	6	964.7	24	3	2.3		0.04
Enceladus	Saturn	498	1.37	10	252.10±0.10	1.608±0.003	[27]	1.375±0.008
Hyperion	Saturn	360 X 226	21.277	19	135.00±4.00	0.544±0.050	[27]	0.3
Skathi	Saturn	8	728.93	41	4	2.3		0.06
Telesto	Saturn	30 X 16	1.888	55	12.4±0.4	0.5		1
Bestla	Saturn	7	1,083.60	6	3.5	2.3		0.04
Daphnis	Saturn	7	0.594	8	3.8±0.8	0.340±0.260	[54]	?
Hyrokkin	Saturn	8	931.8	20
Dione	Saturn	1120	2.737	9	561.70±0.45	1.476±0.004	[27]	0.998±0.004
Tethys	Saturn	1060	1.888	56	533.00±0.70	0.973±0.004	[27]	1.229±0.005
Surtur	Saturn	6	1,297.70	43	3	2.3		0.04
Hati	Saturn	6	1,038.70	17	3	2.3		0.04
Erriapo	Saturn	10	871.17	12
Aegir	Saturn	6	1,116.50	0	3	2.3		0.04
Albiorix	Saturn	30	783	1	16	2.3		0.06
Kari	Saturn	7	1,233.60	25	3	2.3		0.04
Mimas	Saturn	398	0.942	29	198.20±0.25	1.150±0.004	[27]	0.962±0.004
Iapetus	Saturn	1436	79.3215	21	735.60±1.50	1.083±0.007	[27]	0.6
Ariel	Uranus	1160	2.52	0	578.9±0.6	1.592±0.092	[36]	0.39±0.04
Caliban	Uranus	80	579.5	3	36	1.5		0.04
Cupid	Uranus	12	0.618	6	9±1	1.3		0.070±0.006
Ferdinand	Uranus	21	2,823.40	8	10	1.5		0.04
Oberon	Uranus	1526	13.463	14	761.4±2.6	1.559±0.059	[36]	0.23±0.03
Cressida	Uranus	62	0.464	5	41±2	1.3		0.069±0.007
Portia	Uranus	108	0.513	17	70±4	1.3		0.069±0.008
Francisco	Uranus	22	266.6	9	11	1.5		0.04
Ophelia	Uranus	30.4	0.3764	15	21.4±4.	1.3		0.07
Bianca	Uranus	42	0.433	2	27±2	1.3		0.065±0.010
Margaret	Uranus	11	1,694.80	12	10	1.5		0.04
Rosalind	Uranus	54	0.558	20	36±6	1.3		0.072±0.024
Mab	Uranus	16	0.923	11	12±1	1.3		0.103±0.006
Stephano	Uranus	32	677.4	22	16	1.5		0.04
Belinda	Uranus	66	0.624	1	45±8	1.3		0.067±0.024
Miranda	Uranus	472	1.414	13	235.8±0.7	1.214±0.109	[36]	0.32±0.03
Sycorax	Uranus	160	1283.39	23	75	1.5		0.04
Prospero	Uranus	30	5.346	18	25	1.5		0.04
Setebos	Uranus	47	2,234.80	21	24	1.5		0.04
Cordelia	Uranus	26	0.335	4	20.1±3.	1.3		0.07
Titania	Uranus	1,578	8.706	24	788.9±1.8	1.662±0.038	[36]	0.27±0.03
Perdita	Uranus	20	0.638	16	13±1	1.3		0.070±0.006
Trinculo	Uranus	10	759	25	9	1.5		0.04
Puck	Uranus	154	0.762	19	81±2	1.3		0.104±0.006
Umbriel	Uranus	1190	4.144	26	584.7±2.8	1.459±0.092	[36]	0.21±0.02
Desdemona	Uranus	54	0.474	7	35±4	1.3		0.084±0.019
Juliet	Uranus	84	0.493	10	53±4	1.3		0.075±0.011
Triton	Neptune	2705	5.877	12	1353.4±0.9	2.059±0.005	[43]	0.719
Nereid	Neptune	340	360.16	6	170.±25.	1.5		0.155
Thalassa	Neptune	90	0.31	11	41.±3.	1.3		0.091
Sao	Neptune	38	2,925.60	10	22	1.5		0.04
Dwarf	Neptune			13
Halimede	Neptune	60	1,874.83	2	31	1.5		0.04
Laomedeia	Neptune	38	2,980.40	4	21	1.5		0.04
Naiad	Neptune	50	0.3	5	33.±3.	1.3		0.072
Psamathe	Neptune	38	9,136.11	9	20	1.5		0.04
Ceres	Neptune			14
Despina	Neptune	160	0.4	0	75.±3.	1.3		0.09
Proteus	Neptune	420	1.12	8	210.±7.	1.3		0.096
Galatea	Neptune	140	0.33	1	88.±4.	1.3		0.079
Neso	Neptune	60	9,007.10	7	30	1.5		0.04
Larissa	Neptune	200	0.56	3	97.±3.	1.3		0.091
Hydra	Pluto	44-130	38.206	2	30.5±4.	0.8	[66]	0.35
Haumea	Pluto			3
Makemake	Pluto			6
Namaka	Pluto	~170	34.7	4
Eris	Pluto			7
Dysnomia	Pluto	~300	~14	8
Charon	Pluto	1,207	6.387	0	603.6±1.4	1.664±0.012	[66]	0.372±0.012
Nix	Pluto	44-130	24.856	1	23.0±2.	2.1	[66]	0.35
Hi'iaka	Pluto	~310	49.12	5
